"size","pct_hunt","prev_ratio","fadeout"
25,0,0,0.646
25,0.05,0.0106645732666667,0.752
25,0.1,0.0287581072666667,0.704
25,0.15,0.0421346845333333,0.704
25,0.2,0.0496222115333333,0.716
25,0.25,0.0721831962666667,0.676
25,0.3,0.0777040211666667,0.682
25,0.35,0.0856487409666667,0.696
25,0.4,0.103188313466667,0.686
25,0.45,0.1053566382,0.684
25,0.5,0.114369793566667,0.696
25,0.55,0.112138776633333,0.726
25,0.6,0.130455722033333,0.692
25,0.65,0.1357992823,0.692
25,0.7,0.149373880066667,0.704
25,0.75,0.1760218619,0.648
25,0.8,0.151448453333333,0.702
25,0.85,0.143070111566667,0.732
25,0.9,0.183124280733333,0.686
25,0.95,0.1561295431,0.734
25,1,0.18984796,0.688
50,0,0,0.444
50,0.05,0.0271218305333333,0.44
50,0.1,0.0471718801666667,0.434
50,0.15,0.0749859115333333,0.46
50,0.2,0.1104912176,0.476
50,0.25,0.1315246035,0.466
50,0.3,0.147480763866667,0.466
50,0.35,0.186781981366667,0.416
50,0.4,0.188075969,0.48
50,0.45,0.206100704733333,0.456
50,0.5,0.2228441357,0.456
50,0.55,0.2638381098,0.398
50,0.6,0.262335507433333,0.43
50,0.65,0.268035224766667,0.444
50,0.7,0.2829466197,0.466
50,0.75,0.329697571966667,0.416
50,0.8,0.3253820161,0.444
50,0.85,0.344760033833333,0.432
50,0.9,0.3357856061,0.454
50,0.95,0.3608173926,0.466
50,1,0.355028575233333,0.48
75,0,0,0.452
75,0.05,0.0254602866666667,0.424
75,0.1,0.0559687916666667,0.426
75,0.15,0.0822177568333333,0.442
75,0.2,0.1082241049,0.484
75,0.25,0.142596702566667,0.424
75,0.3,0.143176317733333,0.436
75,0.35,0.1691799965,0.448
75,0.4,0.2034131916,0.428
75,0.45,0.213351889766667,0.416
75,0.5,0.248738084466667,0.438
75,0.55,0.244534093766667,0.424
75,0.6,0.245150833166667,0.464
75,0.65,0.277986511366667,0.436
75,0.7,0.325684522566667,0.424
75,0.75,0.3155333655,0.452
75,0.8,0.306334805966667,0.458
75,0.85,0.3451685279,0.454
75,0.9,0.3740476457,0.418
75,0.95,0.3682004058,0.426
75,1,0.389504762533333,0.44
100,0,0,0.276
100,0.05,0.0350329714,0.294
100,0.1,0.0731591185,0.24
100,0.15,0.112296341966667,0.25
100,0.2,0.126284644366667,0.282
100,0.25,0.1706706608,0.252
100,0.3,0.199833971766667,0.278
100,0.35,0.2241120111,0.284
100,0.4,0.262417698333333,0.278
100,0.45,0.278830574966667,0.288
100,0.5,0.286336329666667,0.296
100,0.55,0.336610862366667,0.264
100,0.6,0.333963032,0.308
100,0.65,0.382437253,0.272
100,0.7,0.409090940366667,0.248
100,0.75,0.392898722833333,0.33
100,0.8,0.414072839766667,0.302
100,0.85,0.4329366857,0.268
100,0.9,0.434910031333333,0.28
100,0.95,0.472050986833333,0.292
100,1,0.470207288133333,0.294
125,0,0,0.162
125,0.05,0.0381675283333333,0.2
125,0.1,0.0731566098666667,0.186
125,0.15,0.119744760466667,0.164
125,0.2,0.1421274362,0.218
125,0.25,0.185080552166667,0.19
125,0.3,0.213735008633333,0.17
125,0.35,0.2582041907,0.162
125,0.4,0.2666649547,0.182
125,0.45,0.296033226333333,0.186
125,0.5,0.3371782758,0.188
125,0.55,0.366955664066667,0.156
125,0.6,0.3867687357,0.168
125,0.65,0.406078587333333,0.188
125,0.7,0.457875670766667,0.164
125,0.75,0.450170108766667,0.18
125,0.8,0.4738483743,0.182
125,0.85,0.503379598,0.186
125,0.9,0.5015161466,0.198
125,0.95,0.4917576512,0.192
125,1,0.53153144,0.172
150,0,0,0.192
150,0.05,0.0393574465666667,0.188
150,0.1,0.0856462288333333,0.152
150,0.15,0.118695089666667,0.17
150,0.2,0.156828310666667,0.182
150,0.25,0.203658397866667,0.198
150,0.3,0.214659538266667,0.18
150,0.35,0.253191064366667,0.172
150,0.4,0.283278403466667,0.148
150,0.45,0.2969121349,0.196
150,0.5,0.328257081766667,0.214
150,0.55,0.375601222433333,0.154
150,0.6,0.3775093382,0.176
150,0.65,0.3959879154,0.202
150,0.7,0.417239152733333,0.162
150,0.75,0.4831378847,0.158
150,0.8,0.452602805466667,0.186
150,0.85,0.480523628266667,0.184
150,0.9,0.500493983033333,0.19
150,0.95,0.522092788733333,0.174
150,1,0.493716820366667,0.212
175,0,0,0.108
175,0.05,0.0415388663333333,0.12
175,0.1,0.0882763163333333,0.102
175,0.15,0.126382240866667,0.098
175,0.2,0.165530014466667,0.124
175,0.25,0.197928958766667,0.12
175,0.3,0.227868345733333,0.122
175,0.35,0.299694732866667,0.102
175,0.4,0.3137131534,0.13
175,0.45,0.333405828633333,0.108
175,0.5,0.350902359666667,0.124
175,0.55,0.386852196533333,0.126
175,0.6,0.394967455666667,0.14
175,0.65,0.4144394528,0.124
175,0.7,0.4563467056,0.14
175,0.75,0.471974427233333,0.122
175,0.8,0.5045380165,0.128
175,0.85,0.512140814233333,0.122
175,0.9,0.532405522,0.102
175,0.95,0.5453209868,0.102
175,1,0.564361846166667,0.118
200,0,0,0.12
200,0.05,0.0396239186666667,0.106
200,0.1,0.0798797516666667,0.134
200,0.15,0.130722273566667,0.112
200,0.2,0.177098425966667,0.114
200,0.25,0.189888150466667,0.11
200,0.3,0.2607769042,0.104
200,0.35,0.2582484528,0.102
200,0.4,0.289850389666667,0.142
200,0.45,0.340846979466667,0.1
200,0.5,0.354021205433333,0.112
