"","K","eta_hunt","eta_nat","theta","gamma","alpha_max","ksi","omega","s","beta","p1","p2_q1","p2_q2","p2_q3","p2_q4","phi","sigma1_mean","sigma1_rate","start_q","S_0","E1_0","SuperS_0","SuperE1_0","I_0","SuperI_0"
"1",139,0.123042,0.00044,0.508877,0.068779,1.090606,0.049791,9.71597,61.270127,0.225146,1,0,0,0,0,47.869564,22.098835,0.881587,1,130,3,6,0,0,0
"2",892,0.979754,0.003628,19.335715,0.060728,0.914296,0.006613,11.231032,74.507785,0.067648,1,0,0,0,0,2.493191,30.696694,0.196671,1,869,18,5,0,0,0
"3",97,0.705011,0.026775,0.978571,0.015207,0.907792,0.888618,11.259194,61.901914,0.018669,1,0,0,0,0,6.791887,60.068027,0.108793,1,11,2,84,0,0,0
"4",70,0.93255,0.008602,0.706752,0.08273,1.090399,0.975123,11.185828,71.445432,0.035555,1,0,0,0,0,8.670755,417.029856,4.33852,1,2,2,66,0,0,0
"5",720,0.816106,0.017997,5.199695,0.005137,0.913704,0.019385,9.518236,72.547412,0.214292,1,0,0,0,0,18.308082,71.432549,5.721477,1,692,15,13,0,0,0
"6",55,0.813423,0.038347,0.057251,0.076581,1.094096,0.295043,11.27696,74.498416,0.22722,1,0,0,0,0,5.634877,2.774751,5.797583,1,38,2,15,0,0,0
"7",75,0.32863,0.026136,1.604292,0.029646,1.08159,0.851145,9.681214,61.601162,0.015618,1,0,0,0,0,48.863413,156.057103,5.740559,1,11,2,62,0,0,0
"8",997,0.977572,0.018646,14.189604,0.058623,0.949349,0.047699,10.886989,74.755045,0.142292,1,0,0,0,0,34.416241,546.280772,0.622388,1,931,20,46,0,0,0
"9",859,0.095205,0.000189,17.051396,0.080127,0.926546,0.124503,11.082398,74.308525,0.220003,1,0,0,0,0,3.507602,535.427999,5.159114,1,737,18,104,0,0,0
"10",59,0.964877,0.034654,16.921832,0.002897,1.040325,0.070661,9.565086,64.196306,0.239988,1,0,0,0,0,21.477606,556.686265,0.258527,1,53,2,4,0,0,0
"11",949,0.995998,0.001682,13.365513,0.083249,0.907162,0.615515,10.831486,68.226512,0.119273,1,0,0,0,0,32.119604,559.951646,2.605522,1,358,19,572,0,0,0
"13",884,0.933687,0.008426,17.02815,0.07799,1.012801,0.992318,10.365355,73.201566,0.108503,1,0,0,0,0,32.315933,2.068231,5.404971,1,7,18,859,0,0,0
"14",166,0.228433,0.03987,0.224716,0.075496,1.093376,0.032035,10.730939,64.764855,0.10629,1,0,0,0,0,47.528197,214.492173,5.895737,1,157,4,5,0,0,0
"15",58,0.101486,0.033287,10.085853,0.040574,0.904162,0.010994,11.112789,73.943107,0.2196,1,0,0,0,0,9.856699,19.359519,4.224838,1,56,2,0,0,0,0
"16",50,0.971178,0.001337,15.954838,0.081273,1.087602,0.977237,11.119762,71.825938,0.010357,1,0,0,0,0,32.165417,598.901717,4.814192,1,2,1,47,0,0,0
"17",145,0.861496,0.039031,9.414174,0.079352,1.067305,0.200521,9.406497,74.403799,0.003306,1,0,0,0,0,41.59338,14.354248,5.111209,1,114,3,28,0,0,0
"18",93,0.949891,0.036835,0.321774,0.013033,0.901996,0.94755,9.958717,63.09238,0.198266,1,0,0,0,0,4.492186,45.527871,5.493225,1,5,2,86,0,0,0
"19",391,0.023481,0.013511,6.451295,0.068604,1.099326,0.054426,11.215509,61.581386,0.096419,1,0,0,0,0,44.802511,487.779041,5.566035,1,363,8,20,0,0,0
"20",969,0.876188,0.007741,18.595942,0.017408,0.912196,0.18479,9.542066,69.535259,0.227665,1,0,0,0,0,47.133976,20.311172,3.500938,1,774,20,175,0,0,0
