"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0,0,0.2,"spillover",0.000108467613981635,1
0,0,0.5,"spillover",0.000139332043162888,0.996
0,0,0.95,"spillover",0.000130524486492758,0.996
0,0.05,0.2,"spillover",0.000101248268834127,0.998
0,0.05,0.5,"spillover",0.000140048300506535,1
0,0.05,0.95,"spillover",0.000106004274917282,1
0,0.1,0.2,"spillover",0.000105555545119077,1
0,0.1,0.5,"spillover",0.000106355315349098,0.998
0,0.1,0.95,"spillover",6.84203842543083e-05,0.996
0,0.15,0.2,"spillover",9.48631663900724e-05,1
0,0.15,0.5,"spillover",7.91503284832021e-05,1
0,0.15,0.95,"spillover",7.00395264968872e-05,0.998
0,0.2,0.2,"spillover",7.50205851859767e-05,0.998
0,0.2,0.5,"spillover",0.000106408441889933,0.992
0,0.2,0.95,"spillover",8.63999189264109e-05,0.998
0,0.25,0.2,"spillover",9.6125890491835e-05,1
0,0.25,0.5,"spillover",0.000106220064830738,0.996
0,0.25,0.95,"spillover",5.94356806472634e-05,0.998
0,0.3,0.2,"spillover",8.48220744863645e-05,0.996
0,0.3,0.5,"spillover",5.36012780325123e-05,0.996
0,0.3,0.95,"spillover",0.000100743097456057,0.996
0,0.35,0.2,"spillover",6.91024923436204e-05,0.996
0,0.35,0.5,"spillover",4.7553113057486e-05,0.996
0,0.35,0.95,"spillover",0.000105236174053736,0.998
0,0.4,0.2,"spillover",6.38212641378919e-05,1
0,0.4,0.5,"spillover",7.5499921013824e-05,1
0,0.4,0.95,"spillover",6.40654376326729e-05,0.998
0,0.45,0.2,"spillover",9.63700575582997e-05,1
0,0.45,0.5,"spillover",5.26426304205985e-05,1
0,0.45,0.95,"spillover",5.35501282909306e-05,1
0,0.5,0.2,"spillover",3.19803742140656e-05,0.998
0,0.5,0.5,"spillover",5.91883743138314e-05,0.996
0,0.5,0.95,"spillover",2.69229654279377e-05,0.996
0,0.55,0.2,"spillover",5.33673550563821e-05,0.996
0,0.55,0.5,"spillover",2.24483119915583e-05,1
0,0.55,0.95,"spillover",5.89204061509514e-05,0.998
0,0.6,0.2,"spillover",3.72527264256112e-05,1
0,0.6,0.5,"spillover",5.81045966830162e-05,0.998
0,0.6,0.95,"spillover",5.26006190624412e-05,0.994
0,0.65,0.2,"spillover",2.12012589731459e-05,1
0,0.65,0.5,"spillover",4.76862798261915e-05,1
0,0.65,0.95,"spillover",3.7479077902219e-05,1
0,0.7,0.2,"spillover",3.7444641847299e-05,1
0,0.7,0.5,"spillover",2.15102229929014e-05,1
0,0.7,0.95,"spillover",1.06989351126749e-05,1
0,0.75,0.2,"spillover",5.16795865633075e-06,1
0,0.75,0.5,"spillover",4.69788870678584e-05,0.998
0,0.75,0.95,"spillover",3.80533741196679e-05,1
0,0.8,0.2,"spillover",1.06970990554233e-05,0.998
0,0.8,0.5,"spillover",3.27163762918007e-05,1
0,0.8,0.95,"spillover",2.64825858147668e-05,0.998
0,0.85,0.2,"spillover",1.10527601367855e-05,1
0,0.85,0.5,"spillover",5.23560209424084e-06,0.998
0,0.85,0.95,"spillover",0,1
0,0.9,0.2,"spillover",1.58799985697e-05,1
0,0.9,0.5,"spillover",5.15463917525773e-06,1
0,0.9,0.95,"spillover",1.10151515151515e-05,1
0,0.95,0.2,"spillover",5.23560209424084e-06,1
0,0.95,0.5,"spillover",1.02695933030123e-05,1
0,0.95,0.95,"spillover",0,1
0,1,0.2,"spillover",0,1
0,1,0.5,"spillover",0,1
0,1,0.95,"spillover",0,1
