"","size","num_exp","fadeout"
"1",25,0,0.995850622406639
"2",25,1,0.666721991701245
"3",25,2,0.475128630705394
"4",25,3,0.31253112033195
"5",25,4,0.22754356846473
"6",25,5,0.154016597510373
"7",25,6,0.118215767634855
"8",25,7,0.0712946058091286
"9",25,8,0.0638340248962656
"10",25,9,0.0281908713692946
"11",25,10,0.0258672199170124
"12",106,0,0.995850622406639
"13",106,1,0.606190871369295
"14",106,2,0.427344398340249
"15",106,3,0.256605809128631
"16",106,4,0.173103734439834
"17",106,5,0.100381742738589
"18",106,6,0.089045643153527
"19",106,7,0.0565394190871369
"20",106,8,0.0349958506224066
"21",106,9,0.0241244813278008
"22",106,10,0.0128464730290456
"23",186,0,0.995850622406639
"24",186,1,0.644688796680498
"25",186,2,0.39053112033195
"26",186,3,0.238829875518672
"27",186,4,0.150639004149378
"28",186,5,0.124
"29",186,6,0.092
"30",186,7,0.046356846473029
"31",186,8,0.0395435684647303
"32",186,9,0.0309377593360996
"33",186,10,0.0153941908713693
"34",267,0,0.995850622406639
"35",267,1,0.619618257261411
"36",267,2,0.403178423236515
"37",267,3,0.265302904564315
"38",267,4,0.18756846473029
"39",267,5,0.0965394190871369
"40",267,6,0.0761161825726141
"41",267,7,0.0668879668049793
"42",267,8,0.0261576763485477
"43",267,9,0.0284813278008299
"44",267,10,0.0184398340248963
"45",347,0,0.995850622406639
"46",347,1,0.599842323651452
"47",347,2,0.366091286307054
"48",347,3,0.259875518672199
"49",347,4,0.162265560165975
"50",347,5,0.101261410788382
"51",347,6,0.0674522821576763
"52",347,7,0.055701244813278
"53",347,8,0.0240580912863071
"54",347,9,0.0216846473029046
"55",347,10,0.0187053941908714
"56",428,0,0.995850622406639
"57",428,1,0.641360995850622
"58",428,2,0.421319502074689
"59",428,3,0.222066390041494
"60",428,4,0.169751037344398
"61",428,5,0.0953029045643154
"62",428,6,0.0657178423236515
"63",428,7,0.056655601659751
"64",428,8,0.0293112033195021
"65",428,9,0.0158174273858921
"66",428,10,0.0206887966804979
"67",508,0,0.995850622406639
"68",508,1,0.614846473029046
"69",508,2,0.400796680497925
"70",508,3,0.236439834024896
"71",508,4,0.179668049792531
"72",508,5,0.123576763485477
"73",508,6,0.0853029045643154
"74",508,7,0.0462572614107884
"75",508,8,0.0320331950207469
"76",508,9,0.0251618257261411
"77",508,10,0.0195020746887967
"78",589,0,0.995850622406639
"79",589,1,0.588821576763485
"80",589,2,0.391385892116183
"81",589,3,0.254116182572614
"82",589,4,0.179053941908714
"83",589,5,0.118423236514523
"84",589,6,0.0556763485477178
"85",589,7,0.0401327800829876
"86",589,8,0.0227302904564315
"87",589,9,0.0191784232365145
"88",589,10,0.0126058091286307
"89",669,0,0.995850622406639
"90",669,1,0.643095435684647
"91",669,2,0.388755186721992
"92",669,3,0.268124481327801
"93",669,4,0.169883817427386
"94",669,5,0.117170124481328
"95",669,6,0.0563734439834025
"96",669,7,0.0507800829875519
"97",669,8,0.0437178423236515
"98",669,9,0.015643153526971
"99",669,10,0.0220995850622407
"100",750,0,0.995850622406639
"101",750,1,0.643186721991701
"102",750,2,0.385717842323651
"103",750,3,0.227858921161826
"104",750,4,0.203933609958506
"105",750,5,0.115070539419087
"106",750,6,0.0671286307053942
"107",750,7,0.0426058091286307
"108",750,8,0.0491535269709544
"109",750,9,0.0160663900414938
"110",750,10,0.0141410788381743
