"size","num_exp","fadeout"
37.5,0,0.995850622406639
37.5,1,0.655892116182573
37.5,2,0.4230622406639
37.5,3,0.271352697095436
37.5,4,0.207112033195021
37.5,5,0.143319502074689
37.5,6,0.0860829875518672
37.5,7,0.0691203319502075
37.5,8,0.0537759336099585
37.5,9,0.0279419087136929
37.5,10,0.0160414937759336
37.5,11,0.0240746887966805
37.5,12,0.0174273858921162
37.5,13,0.00966804979253112
37.5,14,0.00639004149377593
37.5,15,0.0045643153526971
37.5,16,0.00287966804979253
37.5,17,0
37.5,18,0
37.5,19,0
37.5,20,0.00148547717842324
37.5,21,0
37.5,22,0
37.5,23,0
37.5,24,0
37.5,25,0.0014356846473029
75,0,0.995850622406639
75,1,0.638547717842324
75,2,0.39156846473029
75,3,0.281352697095436
75,4,0.18103734439834
75,5,0.112398340248963
75,6,0.0848298755186722
75,7,0.0662157676348548
75,8,0.0468630705394191
75,9,0.0272365145228216
75,10,0.0167883817427386
75,11,0.0168547717842324
75,12,0.00799170124481328
75,13,0.00174273858921162
75,14,0.00321991701244813
75,15,0.00305394190871369
75,16,0.00312863070539419
75,17,0
75,18,0
75,19,0
75,20,0.00151867219917012
75,21,0
75,22,0
75,23,0
75,24,0
75,25,0
112.5,0,0.995850622406639
112.5,1,0.643219917012448
112.5,2,0.401352697095436
112.5,3,0.261817427385892
112.5,4,0.1950622406639
112.5,5,0.110489626556017
112.5,6,0.0846224066390042
112.5,7,0.0443236514522822
112.5,8,0.033103734439834
112.5,9,0.0228547717842324
112.5,10,0.0107634854771784
112.5,11,0.015402489626556
112.5,12,0.00432365145228216
112.5,13,0.00310373443983403
112.5,14,0.0077344398340249
112.5,15,0.00312863070539419
112.5,16,0.00307053941908714
112.5,17,0
112.5,18,0.00438174273858921
112.5,19,0
112.5,20,0
112.5,21,0
112.5,22,0
112.5,23,0
112.5,24,0
112.5,25,0
150,0,0.995850622406639
150,1,0.635767634854772
150,2,0.405385892116183
150,3,0.225692946058091
150,4,0.188697095435685
150,5,0.114331950207469
150,6,0.073195020746888
150,7,0.048149377593361
150,8,0.0336763485477178
150,9,0.0278423236514523
150,10,0.0162572614107884
150,11,0.0107800829875519
150,12,0.00748547717842324
150,13,0.00476348547717842
150,14,0.00280497925311203
150,15,0.0030954356846473
150,16,0
150,17,0
150,18,0
150,19,0
150,20,0
150,21,0
150,22,0
150,23,0
150,24,0
150,25,0
187.5,0,0.995850622406639
187.5,1,0.601692946058091
187.5,2,0.404348547717842
187.5,3,0.244190871369295
187.5,4,0.164165975103734
187.5,5,0.115941908713693
187.5,6,0.0582074688796681
187.5,7,0.0609709543568465
187.5,8,0.028746887966805
187.5,9,0.0248879668049793
187.5,10,0.0236929460580913
187.5,11,0.0109958506224066
187.5,12,0.00619917012448133
187.5,13,0.00162655601659751
187.5,14,0.00289626556016598
187.5,15,0
187.5,16,0.00332780082987552
187.5,17,0.00152697095435685
187.5,18,0
187.5,19,0
187.5,20,0
187.5,21,0
187.5,22,0
187.5,23,0
187.5,24,0
187.5,25,0
225,0,0.995850622406639
225,1,0.623153526970954
225,2,0.410066390041494
225,3,0.237634854771784
225,4,0.15204979253112
225,5,0.110041493775934
225,6,0.0736763485477178
225,7,0.0489294605809129
225,8,0.0275020746887967
225,9,0.0173858921161826
225,10,0.00580082987551867
225,11,0.00791701244813278
225,12,0.00469709543568465
225,13,0.00326141078838174
225,14,0.00253941908713693
225,15,0.0042655601659751
225,16,0.00527800829875519
225,17,0
225,18,0
225,19,0
225,20,0
225,21,0
225,22,0
225,23,0
225,24,0
225,25,0
262.5,0,0.995850622406639
262.5,1,0.591917012448133
262.5,2,0.401211618257261
262.5,3,0.267834024896266
262.5,4,0.155535269709544
262.5,5,0.123817427385892
262.5,6,0.0842904564315353
262.5,7,0.0538921161825726
262.5,8,0.0334688796680498
262.5,9,0.0167302904564315
262.5,10,0.0131120331950207
262.5,11,0.00452282157676349
262.5,12,0.00921161825726141
262.5,13,0.00436514522821577
262.5,14,0.00150207468879668
262.5,15,0.00125311203319502
262.5,16,0
262.5,17,0
262.5,18,0
262.5,19,0
262.5,20,0
262.5,21,0
262.5,22,0
262.5,23,0.00141908713692946
262.5,24,0
