"size","num_exp","fadeout"
37.5,0,0.995850622406639
37.5,1,0.880149377593361
37.5,2,0.833900414937759
37.5,3,0.797643153526971
37.5,4,0.77544398340249
37.5,5,0.759941908713693
37.5,6,0.740796680497925
37.5,7,0.732838174273859
37.5,8,0.721991701244813
37.5,9,0.698804979253112
37.5,10,0.697219917012448
37.5,11,0.686340248962656
37.5,12,0.67604979253112
37.5,13,0.666863070539419
37.5,14,0.661842323651452
37.5,15,0.65349377593361
37.5,16,0.652887966804979
37.5,17,0.644614107883817
37.5,18,0.641053941908714
37.5,19,0.641576763485477
37.5,20,0.628863070539419
37.5,21,0.627311203319502
37.5,22,0.621759336099585
37.5,23,0.622323651452282
37.5,24,0.609145228215768
37.5,25,0.615784232365145
75,0,0.995850622406639
75,1,0.879626556016598
75,2,0.828730290456432
75,3,0.799394190871369
75,4,0.777327800829876
75,5,0.755775933609959
75,6,0.73450622406639
75,7,0.723742738589212
75,8,0.708796680497925
75,9,0.707908713692946
75,10,0.696755186721992
75,11,0.671369294605809
75,12,0.682058091286307
75,13,0.66404979253112
75,14,0.661626556016597
75,15,0.654630705394191
75,16,0.643834024896266
75,17,0.639394190871369
75,18,0.645917012448133
75,19,0.629385892116183
75,20,0.630265560165975
75,21,0.625186721991701
75,22,0.627377593360996
75,23,0.609751037344398
75,24,0.609004149377593
75,25,0.613485477178423
112.5,0,0.995850622406639
112.5,1,0.879029045643154
112.5,2,0.817435684647303
112.5,3,0.799759336099585
112.5,4,0.780821576763486
112.5,5,0.747784232365145
112.5,6,0.740771784232365
112.5,7,0.729676348547718
112.5,8,0.724854771784232
112.5,9,0.698340248962656
112.5,10,0.694904564315353
112.5,11,0.685751037344398
112.5,12,0.682240663900415
112.5,13,0.67604979253112
112.5,14,0.662879668049792
112.5,15,0.658124481327801
112.5,16,0.653966804979253
112.5,17,0.648755186721992
112.5,18,0.63146887966805
112.5,19,0.64397510373444
112.5,20,0.628979253112033
112.5,21,0.613203319502075
112.5,22,0.620423236514523
112.5,23,0.613991701244813
112.5,24,0.61248132780083
112.5,25,0.601228215767635
150,0,0.995850622406639
150,1,0.882307053941909
150,2,0.831070539419087
150,3,0.80245643153527
150,4,0.773460580912863
150,5,0.757211618257261
150,6,0.74192531120332
150,7,0.720846473029046
150,8,0.70397510373444
150,9,0.71496265560166
150,10,0.695087136929461
150,11,0.679883817427386
150,12,0.684879668049793
150,13,0.661692946058091
150,14,0.663087136929461
150,15,0.654697095435685
150,16,0.645327800829876
150,17,0.64746887966805
150,18,0.638730290456431
150,19,0.636157676348548
150,20,0.63407468879668
150,21,0.621377593360996
150,22,0.626414937759336
150,23,0.620846473029046
150,24,0.605360995850622
150,25,0.621377593360996
187.5,0,0.995850622406639
187.5,1,0.87797510373444
187.5,2,0.833236514522822
187.5,3,0.79096265560166
187.5,4,0.763427385892116
187.5,5,0.760232365145228
187.5,6,0.734605809128631
187.5,7,0.736614107883817
187.5,8,0.714224066390042
187.5,9,0.706912863070539
187.5,10,0.687228215767635
187.5,11,0.678871369294606
187.5,12,0.670340248962656
187.5,13,0.663170124481328
187.5,14,0.670107883817427
187.5,15,0.660580912863071
187.5,16,0.652871369294606
187.5,17,0.648780082987552
187.5,18,0.637344398340249
187.5,19,0.63746887966805
187.5,20,0.637402489626556
187.5,21,0.624248962655602
187.5,22,0.623535269709544
187.5,23,0.627319502074689
187.5,24,0.606033195020747
187.5,25,0.610755186721992
225,0,0.995850622406639
225,1,0.88004979253112
225,2,0.819892116182573
225,3,0.807369294605809
225,4,0.777692946058091
225,5,0.748622406639004
225,6,0.741883817427386
225,7,0.725128630705394
225,8,0.714174273858921
225,9,0.698564315352697
225,10,0.689269709543568
225,11,0.687070539419087
225,12,0.673551867219917
225,13,0.670232365145228
225,14,0.659269709543568
225,15,0.658663900414938
225,16,0.646589211618257
225,17,0.645593360995851
225,18,0.63650622406639
225,19,0.639427385892116
225,20,0.631626556016598
225,21,0.620655601659751
225,22,0.622755186721992
225,23,0.620813278008299
225,24,0.614091286307054
225,25,0.605925311203319
262.5,0,0.995850622406639
262.5,1,0.874738589211618
262.5,2,0.837842323651452
262.5,3,0.803875518672199
262.5,4,0.775336099585062
262.5,5,0.74850622406639
262.5,6,0.742
262.5,7,0.719618257261411
262.5,8,0.707510373443983
262.5,9,0.699668049792531
262.5,10,0.696041493775934
262.5,11,0.691751037344398
262.5,12,0.673850622406639
262.5,13,0.673128630705394
262.5,14,0.655767634854772
262.5,15,0.654655601659751
262.5,16,0.648423236514523
262.5,17,0.644647302904564
262.5,18,0.644323651452282
262.5,19,0.63050622406639
262.5,20,0.632107883817427
262.5,21,0.620771784232365
262.5,22,0.625593360995851
262.5,23,0.63149377593361
262.5,24,0.610539419087137
262.5,25,0.60053112033195
300,0,0.995850622406639
300,1,0.876995850622407
300,2,0.825742738589212
300,3,0.800730290456432
300,4,0.779684647302905
300,5,0.750912863070539
300,6,0.745560165975104
300,7,0.726298755186722
300,8,0.714829875518672
300,9,0.700680497925311
300,10,0.690066390041494
300,11,0.682448132780083
300,12,0.673344398340249
300,13,0.66956846473029
300,14,0.658381742738589
300,15,0.661278008298755
300,16,0.648912863070539
300,17,0.637087136929461
300,18,0.640489626556017
300,19,0.633452282157676
300,20,0.627983402489627
300,21,0.625369294605809
300,22,0.621767634854772
300,23,0.624904564315353
300,24,0.613302904564315
300,25,0.619601659751037
337.5,0,0.995850622406639
337.5,1,0.885485477178423
337.5,2,0.836863070539419
337.5,3,0.79946887966805
337.5,4,0.774663900414938
337.5,5,0.74995020746888
337.5,6,0.742721991701245
337.5,7,0.734041493775934
337.5,8,0.714838174273859
337.5,9,0.70607468879668
337.5,10,0.69843153526971
337.5,11,0.678995850622407
337.5,12,0.682605809128631
337.5,13,0.66397510373444
337.5,14,0.666597510373444
337.5,15,0.664863070539419
337.5,16,0.644821576763486
337.5,17,0.654290456431535
337.5,18,0.644439834024896
337.5,19,0.633709543568465
337.5,20,0.633576763485477
337.5,21,0.617775933609959
337.5,22,0.62698755186722
337.5,23,0.618348547717842
337.5,24,0.604116182572614
337.5,25,0.606580912863071
375,0,0.995850622406639
375,1,0.888232365145228
375,2,0.827726141078838
375,3,0.799286307053942
375,4,0.774946058091286
375,5,0.752381742738589
375,6,0.742232365145228
375,7,0.729203319502075
375,8,0.720124481327801
375,9,0.695087136929461
375,10,0.692821576763485
375,11,0.68756846473029
375,12,0.676464730290456
375,13,0.670680497925311
375,14,0.659360995850622
375,15,0.658373443983402
375,16,0.649219917012448
375,17,0.641834024896266
375,18,0.644630705394191
375,19,0.629336099585062
375,20,0.631900414937759
375,21,0.622132780082988
375,22,0.61392531120332
375,23,0.620473029045643
375,24,0.615460580912863
375,25,0.602489626556017
412.5,0,0.995850622406639
