"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0,0,0.2,"spillover",0.167618294838417,0.304
0,0,0.5,"spillover",0.174241599998411,0.29
0,0,0.95,"spillover",0.175486002910428,0.3
0,0.05,0.2,"spillover",0.161853385240153,0.31
0,0.05,0.5,"spillover",0.172472260274969,0.314
0,0.05,0.95,"spillover",0.170458164087138,0.336
0,0.1,0.2,"spillover",0.154370246834994,0.324
0,0.1,0.5,"spillover",0.16076258459484,0.358
0,0.1,0.95,"spillover",0.147002861511346,0.324
0,0.15,0.2,"spillover",0.155808693169143,0.328
0,0.15,0.5,"spillover",0.150199222387475,0.332
0,0.15,0.95,"spillover",0.151951729288919,0.394
0,0.2,0.2,"spillover",0.148795890696184,0.42
0,0.2,0.5,"spillover",0.143905914119496,0.368
0,0.2,0.95,"spillover",0.135065775218218,0.386
0,0.25,0.2,"spillover",0.134765883492761,0.404
0,0.25,0.5,"spillover",0.132024026666421,0.378
0,0.25,0.95,"spillover",0.143302259317714,0.382
0,0.3,0.2,"spillover",0.122024157839238,0.434
0,0.3,0.5,"spillover",0.135459226808178,0.436
0,0.3,0.95,"spillover",0.130921918791734,0.424
0,0.35,0.2,"spillover",0.118769205395877,0.438
0,0.35,0.5,"spillover",0.11365884760627,0.454
0,0.35,0.95,"spillover",0.115290501678565,0.438
0,0.4,0.2,"spillover",0.103662025417331,0.45
0,0.4,0.5,"spillover",0.104983117315914,0.474
0,0.4,0.95,"spillover",0.11871735674138,0.466
0,0.45,0.2,"spillover",0.110625628590819,0.498
0,0.45,0.5,"spillover",0.0954490122789164,0.484
0,0.45,0.95,"spillover",0.101560925711399,0.524
0,0.5,0.2,"spillover",0.0911490043867992,0.592
0,0.5,0.5,"spillover",0.0938661296283797,0.526
0,0.5,0.95,"spillover",0.105880947392832,0.532
0,0.55,0.2,"spillover",0.0850224832052921,0.514
0,0.55,0.5,"spillover",0.085268986952859,0.602
0,0.55,0.95,"spillover",0.0814056140968102,0.606
0,0.6,0.2,"spillover",0.0757913949947311,0.594
0,0.6,0.5,"spillover",0.0670042580639928,0.626
0,0.6,0.95,"spillover",0.0702969138765973,0.64
0,0.65,0.2,"spillover",0.0628790254887164,0.676
0,0.65,0.5,"spillover",0.0640593985559425,0.676
0,0.65,0.95,"spillover",0.0638915305371845,0.672
0,0.7,0.2,"spillover",0.0581738471520883,0.682
0,0.7,0.5,"spillover",0.0540827842293099,0.698
0,0.7,0.95,"spillover",0.0594526393982269,0.67
0,0.75,0.2,"spillover",0.0486076511012666,0.754
0,0.75,0.5,"spillover",0.0514667211819955,0.734
