"p1_red","farm_red","pct_hunt","scenario","mean_prev","fadeout"
0,0,0.2,"spillover",7.64411008271412e-05,0.998
0,0,0.5,"spillover",7.51646161270402e-05,0.994
0,0,0.95,"spillover",8.33797802629321e-05,0.996
0,0.05,0.2,"spillover",0.00011902652869987,0.994
0,0.05,0.5,"spillover",7.43815052906954e-05,1
0,0.05,0.95,"spillover",8.58916231971545e-05,0.996
0,0.1,0.2,"spillover",6.80651713604421e-05,1
0,0.1,0.5,"spillover",9.20066799381143e-05,0.996
0,0.1,0.95,"spillover",0.000101812030015223,0.998
0,0.15,0.2,"spillover",0.000117922646146964,0.996
0,0.15,0.5,"spillover",7.4628279033851e-05,0.998
0,0.15,0.95,"spillover",4.3201692946776e-05,0.998
0,0.2,0.2,"spillover",0.000117062207393062,0.994
0,0.2,0.5,"spillover",8.03153618587735e-05,0.996
0,0.2,0.95,"spillover",7.42436668749358e-05,0.994
0,0.25,0.2,"spillover",6.37015769073381e-05,0.996
0,0.25,0.5,"spillover",5.30681217487008e-05,0.994
0,0.25,0.95,"spillover",7.06563316744798e-05,0.994
0,0.3,0.2,"spillover",5.818516273418e-05,1
0,0.3,0.5,"spillover",5.90276953326961e-05,0.998
0,0.3,0.95,"spillover",5.8210108118192e-05,0.994
0,0.35,0.2,"spillover",6.99224495509098e-05,0.998
0,0.35,0.5,"spillover",4.84673225173737e-05,0.998
0,0.35,0.95,"spillover",7.71745487218165e-05,0.998
0,0.4,0.2,"spillover",4.85044515545522e-05,1
0,0.4,0.5,"spillover",6.46145176553617e-05,1
0,0.4,0.95,"spillover",5.34663302941169e-05,1
0,0.45,0.2,"spillover",6.42675081229728e-05,0.996
0,0.45,0.5,"spillover",6.36650409813702e-05,0.998
0,0.45,0.95,"spillover",0.000111399786963549,0.994
0,0.5,0.2,"spillover",4.70844573970461e-05,0.994
0,0.5,0.5,"spillover",7.45185105253168e-05,1
0,0.5,0.95,"spillover",7.42631929253096e-05,1
0,0.55,0.2,"spillover",5.2460217856634e-05,0.998
0,0.55,0.5,"spillover",1.61419162056308e-05,1
0,0.55,0.95,"spillover",4.28453561246523e-05,0.996
0,0.6,0.2,"spillover",4.82622830650341e-05,0.998
0,0.6,0.5,"spillover",4.84346583670151e-05,0.998
0,0.6,0.95,"spillover",7.50358734967172e-05,1
0,0.65,0.2,"spillover",4.34011232931501e-05,0.996
0,0.65,0.5,"spillover",3.74656935403288e-05,0.998
0,0.65,0.95,"spillover",4.29927043199854e-05,1
0,0.7,0.2,"spillover",4.29352285982289e-05,0.996
0,0.7,0.5,"spillover",2.71166147316681e-05,1
0,0.7,0.95,"spillover",3.67210092573222e-05,1
0,0.75,0.2,"spillover",1.0840108401084e-05,1
0,0.75,0.5,"spillover",1.6891308162175e-05,0.998
