"size","p1_red","pct_hunt","scenario","mean_prev","fadeout","size_label","hunt_label","p1_red_pct"
25,0,0,"seeded",0.0441947077071042,0.213333333333333,"N==25",0,0
25,0,0,"spillover",0.0849678656096242,0.08,"N==25",0,0
250,0,0,"seeded",0.0317286985543535,0.206666666666667,"N==250",0,0
250,0,0,"spillover",0.230243784073058,0.00333333333333333,"N==250",0,0
500,0,0,"seeded",0.0444097849203426,0.233333333333333,"N==500",0,0
500,0,0,"spillover",0.357100128667356,0.00333333333333333,"N==500",0,0
25,0,0.05,"seeded",0.0360187649122452,0.216666666666667,"N==25",0.05,0
25,0,0.05,"spillover",0.0899206446471502,0.0966666666666667,"N==25",0.05,0
250,0,0.05,"seeded",0.0323049070273677,0.196666666666667,"N==250",0.05,0
250,0,0.05,"spillover",0.20411210633488,0.00666666666666667,"N==250",0.05,0
500,0,0.05,"seeded",0.0805472302505872,0.23,"N==500",0.05,0
500,0,0.05,"spillover",0.369452214945159,NA,"N==500",0.05,0
25,0,0.1,"seeded",0.0408300390287372,0.216666666666667,"N==25",0.1,0
25,0,0.1,"spillover",0.0867485548832775,0.1,"N==25",0.1,0
250,0,0.1,"seeded",0.0253247077108655,0.19,"N==250",0.1,0
250,0,0.1,"spillover",0.189208161075955,NA,"N==250",0.1,0
500,0,0.1,"seeded",0.0637330690009815,0.223333333333333,"N==500",0.1,0
500,0,0.1,"spillover",0.370691914154618,NA,"N==500",0.1,0
25,0,0.15,"seeded",0.0368895120539137,0.22,"N==25",0.15,0
25,0,0.15,"spillover",0.09584992075795,0.0766666666666667,"N==25",0.15,0
250,0,0.15,"seeded",0.0401755598929696,0.216666666666667,"N==250",0.15,0
250,0,0.15,"spillover",0.188454387657255,0.01,"N==250",0.15,0
500,0,0.15,"seeded",0.0392279277029836,0.223333333333333,"N==500",0.15,0
500,0,0.15,"spillover",0.38723251570976,NA,"N==500",0.15,0
25,0,0.2,"seeded",0.0473876802975424,0.226666666666667,"N==25",0.2,0
25,0,0.2,"spillover",0.0853877482002359,0.106666666666667,"N==25",0.2,0
250,0,0.2,"seeded",0.0514146643452363,0.166666666666667,"N==250",0.2,0
250,0,0.2,"spillover",0.197362095447095,NA,"N==250",0.2,0
500,0,0.2,"seeded",0.0614355134414085,0.23,"N==500",0.2,0
500,0,0.2,"spillover",0.376105334271436,NA,"N==500",0.2,0
25,0,0.25,"seeded",0.0426098156423148,0.196666666666667,"N==25",0.25,0
25,0,0.25,"spillover",0.0836245849365987,0.0966666666666667,"N==25",0.25,0
250,0,0.25,"seeded",0.0485678649127788,0.206666666666667,"N==250",0.25,0
250,0,0.25,"spillover",0.203269071502107,0.00666666666666667,"N==250",0.25,0
500,0,0.25,"seeded",0.0606503440608606,0.25,"N==500",0.25,0
500,0,0.25,"spillover",0.345102393024817,NA,"N==500",0.25,0
25,0,0.3,"seeded",0.0405939492072223,0.273333333333333,"N==25",0.3,0
25,0,0.3,"spillover",0.0938346464481096,0.116666666666667,"N==25",0.3,0
250,0,0.3,"seeded",0.0381532325736143,0.186666666666667,"N==250",0.3,0
250,0,0.3,"spillover",0.213685258994367,0.01,"N==250",0.3,0
500,0,0.3,"seeded",0.0585464132639863,0.176666666666667,"N==500",0.3,0
500,0,0.3,"spillover",0.333053719553162,NA,"N==500",0.3,0
25,0,0.35,"seeded",0.0431188183825499,0.21,"N==25",0.35,0
25,0,0.35,"spillover",0.0882472491896912,0.0866666666666667,"N==25",0.35,0
250,0,0.35,"seeded",0.03999790837158,0.22,"N==250",0.35,0
250,0,0.35,"spillover",0.217711734035514,0.00333333333333333,"N==250",0.35,0
500,0,0.35,"seeded",0.0481920731983516,0.24,"N==500",0.35,0
500,0,0.35,"spillover",0.379690533992826,0.00333333333333333,"N==500",0.35,0
25,0,0.4,"seeded",0.0341318047559532,0.246666666666667,"N==25",0.4,0
25,0,0.4,"spillover",0.0849358821347904,0.0966666666666667,"N==25",0.4,0
250,0,0.4,"seeded",0.0507404615653526,0.176666666666667,"N==250",0.4,0
250,0,0.4,"spillover",0.212153261339271,0.00333333333333333,"N==250",0.4,0
500,0,0.4,"seeded",0.0539759116998602,0.18,"N==500",0.4,0
500,0,0.4,"spillover",0.356042884554616,0.00666666666666667,"N==500",0.4,0
25,0,0.45,"seeded",0.0455042313439198,0.176666666666667,"N==25",0.45,0
25,0,0.45,"spillover",0.0892067844423836,0.113333333333333,"N==25",0.45,0
250,0,0.45,"seeded",0.0418120464757425,0.18,"N==250",0.45,0
250,0,0.45,"spillover",0.208004510859559,NA,"N==250",0.45,0
500,0,0.45,"seeded",0.0522489800217394,0.206666666666667,"N==500",0.45,0
500,0,0.45,"spillover",0.338639344300014,NA,"N==500",0.45,0
25,0,0.5,"seeded",0.0523241986948406,0.213333333333333,"N==25",0.5,0
25,0,0.5,"spillover",0.0871290509972319,0.113333333333333,"N==25",0.5,0
250,0,0.5,"seeded",0.0326170618849259,0.216666666666667,"N==250",0.5,0
250,0,0.5,"spillover",0.201217654308785,0.01,"N==250",0.5,0
500,0,0.5,"seeded",0.0531469218390558,0.196666666666667,"N==500",0.5,0
500,0,0.5,"spillover",0.349987633019282,NA,"N==500",0.5,0
25,0,0.55,"seeded",0.0463044350257862,0.216666666666667,"N==25",0.55,0
25,0,0.55,"spillover",0.0772038616698186,0.156666666666667,"N==25",0.55,0
250,0,0.55,"seeded",0.0404539990116255,0.2,"N==250",0.55,0
250,0,0.55,"spillover",0.21846783937051,NA,"N==250",0.55,0
500,0,0.55,"seeded",0.0423500977614583,0.2,"N==500",0.55,0
500,0,0.55,"spillover",0.358471994502613,0.00333333333333333,"N==500",0.55,0
25,0,0.6,"seeded",0.0457778053157038,0.24,"N==25",0.6,0
25,0,0.6,"spillover",0.0855001198069145,0.0933333333333333,"N==25",0.6,0
250,0,0.6,"seeded",0.0273715551325256,0.166666666666667,"N==250",0.6,0
250,0,0.6,"spillover",0.208745017093818,0.00666666666666667,"N==250",0.6,0
500,0,0.6,"seeded",0.0614467026198892,0.23,"N==500",0.6,0
500,0,0.6,"spillover",0.35406581573772,NA,"N==500",0.6,0
25,0,0.65,"seeded",0.0399129766145276,0.226666666666667,"N==25",0.65,0
25,0,0.65,"spillover",0.0805411847096154,0.12,"N==25",0.65,0
250,0,0.65,"seeded",0.0318476569390281,0.183333333333333,"N==250",0.65,0
250,0,0.65,"spillover",0.218954840020265,NA,"N==250",0.65,0
500,0,0.65,"seeded",0.0456975398266181,0.256666666666667,"N==500",0.65,0
500,0,0.65,"spillover",0.349815974868756,NA,"N==500",0.65,0
25,0,0.7,"seeded",0.0431187026270048,0.236666666666667,"N==25",0.7,0
25,0,0.7,"spillover",0.07763355395602,0.13,"N==25",0.7,0
250,0,0.7,"seeded",0.0406127624399693,0.216666666666667,"N==250",0.7,0
250,0,0.7,"spillover",0.205286961395011,0.00333333333333333,"N==250",0.7,0
500,0,0.7,"seeded",0.0476763031989062,0.243333333333333,"N==500",0.7,0
500,0,0.7,"spillover",0.337110492659051,NA,"N==500",0.7,0
25,0,0.75,"seeded",0.0438154499925298,0.203333333333333,"N==25",0.75,0
25,0,0.75,"spillover",0.0937773457806981,0.07,"N==25",0.75,0
250,0,0.75,"seeded",0.0480117563866282,0.186666666666667,"N==250",0.75,0
250,0,0.75,"spillover",0.191328091887867,0.00333333333333333,"N==250",0.75,0
500,0,0.75,"seeded",0.0617577918696526,0.213333333333333,"N==500",0.75,0
500,0,0.75,"spillover",0.363224947827169,NA,"N==500",0.75,0
25,0,0.8,"seeded",0.0441350396067034,0.23,"N==25",0.8,0
25,0,0.8,"spillover",0.0886991523026174,0.136666666666667,"N==25",0.8,0
250,0,0.8,"seeded",0.0430063205390538,0.226666666666667,"N==250",0.8,0
250,0,0.8,"spillover",0.205383451343534,0.0133333333333333,"N==250",0.8,0
500,0,0.8,"seeded",0.0412865570042513,0.22,"N==500",0.8,0
500,0,0.8,"spillover",0.355207778520237,NA,"N==500",0.8,0
25,0,0.85,"seeded",0.041828054866165,0.246666666666667,"N==25",0.85,0
25,0,0.85,"spillover",0.0925912384795615,0.0966666666666667,"N==25",0.85,0
250,0,0.85,"seeded",0.0509386645901046,0.193333333333333,"N==250",0.85,0
250,0,0.85,"spillover",0.204072970187275,0.00666666666666667,"N==250",0.85,0
500,0,0.85,"seeded",0.0518521975038043,0.196666666666667,"N==500",0.85,0
