"","size","prop_ss","mean_prev"
"1",37.5,0,0.0493983444059665
"2",37.5,0.05,0.056072431053962
"3",37.5,0.1,0.0655726401741779
"4",37.5,0.15,0.079010019842322
"5",37.5,0.2,0.0816473382493016
"6",37.5,0.25,0.0959276374546173
"7",37.5,0.3,0.106739039313966
"8",37.5,0.35,0.10923044399938
"9",37.5,0.4,0.121757067456394
"10",37.5,0.45,0.132467994802172
"11",37.5,0.5,0.14459432462169
"12",37.5,0.55,0.155818646066301
"13",37.5,0.6,0.164459070300075
"14",37.5,0.65,0.161376124315155
"15",37.5,0.7,0.176605433609951
"16",37.5,0.75,0.179818247479057
"17",37.5,0.8,0.190380915829866
"18",37.5,0.85,0.200590539808272
"19",37.5,0.9,0.203616203502502
"20",37.5,0.95,0.217863364594065
"21",37.5,1,0.223023502512497
"22",75,0,0.0647002877588388
"23",75,0.05,0.0834529282908933
"24",75,0.1,0.0981657038926695
"25",75,0.15,0.105349558987425
"26",75,0.2,0.114189893412669
"27",75,0.25,0.12026859936275
"28",75,0.3,0.136432686451643
"29",75,0.35,0.159393042433814
"30",75,0.4,0.168534030841089
"31",75,0.45,0.178533842174146
"32",75,0.5,0.178480298186362
"33",75,0.55,0.199626363516616
"34",75,0.6,0.2092176526531
"35",75,0.65,0.219067129782836
"36",75,0.7,0.244803673747804
"37",75,0.75,0.244824416612423
"38",75,0.8,0.259957884851326
"39",75,0.85,0.269087606117872
"40",75,0.9,0.276278674181581
"41",75,0.95,0.29075489080704
"42",75,1,0.298972696751092
"43",112.5,0,0.0836845462553792
"44",112.5,0.05,0.100113789516995
"45",112.5,0.1,0.118129624162641
"46",112.5,0.15,0.139488224279813
"47",112.5,0.2,0.154857957829107
"48",112.5,0.25,0.169141247383235
"49",112.5,0.3,0.179663348285251
"50",112.5,0.35,0.201412605181535
"51",112.5,0.4,0.207999622647961
"52",112.5,0.45,0.225714947961962
"53",112.5,0.5,0.247042336699103
"54",112.5,0.55,0.26076696020039
"55",112.5,0.6,0.259118834532088
"56",112.5,0.65,0.274131615588704
"57",112.5,0.7,0.288095439450478
"58",112.5,0.75,0.300226928646519
"59",112.5,0.8,0.322528997585883
"60",112.5,0.85,0.317068509630056
"61",112.5,0.9,0.326569457918574
"62",112.5,0.95,0.368579015026927
"63",112.5,1,0.381190247404172
"64",150,0,0.111424766254316
"65",150,0.05,0.133886714012575
"66",150,0.1,0.153831854302762
"67",150,0.15,0.17598743498748
"68",150,0.2,0.194394820481001
"69",150,0.25,0.215604497616902
"70",150,0.3,0.210402493916597
"71",150,0.35,0.249769865610586
"72",150,0.4,0.253407332555393
"73",150,0.45,0.26896744074056
"74",150,0.5,0.304500905194221
"75",150,0.55,0.310565051674948
"76",150,0.6,0.306207822266164
"77",150,0.65,0.341164341355297
"78",150,0.7,0.353357742148875
"79",150,0.75,0.351964904033329
"80",150,0.8,0.368925266664178
"81",150,0.85,0.393163186086767
"82",150,0.9,0.40693383490695
"83",150,0.95,0.439526508641103
"84",150,1,0.421264192058289
"85",187.5,0,0.125894572380416
"86",187.5,0.05,0.149601987549337
"87",187.5,0.1,0.174584899534296
"88",187.5,0.15,0.20103625463571
"89",187.5,0.2,0.221382888515732
"90",187.5,0.25,0.244007668979546
"91",187.5,0.3,0.25401012622599
"92",187.5,0.35,0.294002958328427
